"id","question","sparql","answer","frame"
"0","Give me the capital of Lower Canada","select  ?o    {    <http://dbpedia.org/resource/Lower_Canada> <http://dbpedia.org/ontology/capital>  ?o    }","Quebec City","NPP"
"1","Tell me the capital of Lower Canada","select  ?o    {    <http://dbpedia.org/resource/Lower_Canada> <http://dbpedia.org/ontology/capital>  ?o    }","Quebec City","NPP"
"2","What is the capital of Lower Canada?","select  ?o    {    <http://dbpedia.org/resource/Lower_Canada> <http://dbpedia.org/ontology/capital>  ?o    }","Quebec City","NPP"
"3","What was the capital of Lower Canada?","select  ?o    {    <http://dbpedia.org/resource/Lower_Canada> <http://dbpedia.org/ontology/capital>  ?o    }","Quebec City","NPP"
"4","Which city is the capital of Lower Canada?","select  ?o    {    <http://dbpedia.org/resource/Lower_Canada> <http://dbpedia.org/ontology/capital>  ?o    }","Quebec City","NPP"
"5","Which city was the capital of Lower Canada?","select  ?o    {    <http://dbpedia.org/resource/Lower_Canada> <http://dbpedia.org/ontology/capital>  ?o    }","Quebec City","NPP"
"6","Give me the capital of Lower Danube Circle","select  ?o    {    <http://dbpedia.org/resource/Lower_Danube_Circle> <http://dbpedia.org/ontology/capital>  ?o    }","Passau","NPP"
"7","Tell me the capital of Lower Danube Circle","select  ?o    {    <http://dbpedia.org/resource/Lower_Danube_Circle> <http://dbpedia.org/ontology/capital>  ?o    }","Passau","NPP"
"8","What is the capital of Lower Danube Circle?","select  ?o    {    <http://dbpedia.org/resource/Lower_Danube_Circle> <http://dbpedia.org/ontology/capital>  ?o    }","Passau","NPP"
"9","What was the capital of Lower Danube Circle?","select  ?o    {    <http://dbpedia.org/resource/Lower_Danube_Circle> <http://dbpedia.org/ontology/capital>  ?o    }","Passau","NPP"
"10","Which city is the capital of Lower Danube Circle?","select  ?o    {    <http://dbpedia.org/resource/Lower_Danube_Circle> <http://dbpedia.org/ontology/capital>  ?o    }","Passau","NPP"
"11","Which city was the capital of Lower Danube Circle?","select  ?o    {    <http://dbpedia.org/resource/Lower_Danube_Circle> <http://dbpedia.org/ontology/capital>  ?o    }","Passau","NPP"
"12","Give me the capital of Lower Egypt","select  ?o    {    <http://dbpedia.org/resource/Lower_Egypt> <http://dbpedia.org/ontology/capital>  ?o    }","Memphis, Egypt","NPP"
"13","Tell me the capital of Lower Egypt","select  ?o    {    <http://dbpedia.org/resource/Lower_Egypt> <http://dbpedia.org/ontology/capital>  ?o    }","Memphis, Egypt","NPP"
"14","What is the capital of Lower Egypt?","select  ?o    {    <http://dbpedia.org/resource/Lower_Egypt> <http://dbpedia.org/ontology/capital>  ?o    }","Memphis, Egypt","NPP"
"15","What was the capital of Lower Egypt?","select  ?o    {    <http://dbpedia.org/resource/Lower_Egypt> <http://dbpedia.org/ontology/capital>  ?o    }","Memphis, Egypt","NPP"
"16","Which city is the capital of Lower Egypt?","select  ?o    {    <http://dbpedia.org/resource/Lower_Egypt> <http://dbpedia.org/ontology/capital>  ?o    }","Memphis, Egypt","NPP"
"17","Which city was the capital of Lower Egypt?","select  ?o    {    <http://dbpedia.org/resource/Lower_Egypt> <http://dbpedia.org/ontology/capital>  ?o    }","Memphis, Egypt","NPP"
